Version;4;;;;
Language;en-US;;;;
Local export date;28.05.2025 10:35:19;;;;
Export UTC date;2025-05-28T10:35:19.104Z;;;;
Time zone;Africa/Dakar;;;;
User name;mansour.ndiaye2@orange-sonatel.com;;;;
Level;System;;;;
System ID;7409390;;;;
System name;DATACENTER Transfo 1A;;;;
;;;;;
Time period;Direct consumption [kW];Grid-supplied power [kW];Grid feed-in [kW];Total consumption [kW];Total generation [kW]
12.05 AM;0;188,57;0;188,57;0
12.10 AM;0;184,42;0;184,42;0
12.15 AM;0;190,01;0;190,01;0
12.20 AM;0;198,44;0;198,44;0
12.25 AM;0;184,67;0;184,67;0
12.30 AM;0;181,13;0;181,13;0
12.35 AM;0;181,35;0;181,35;0
12.40 AM;0;186,15;0;186,15;0
12.45 AM;0;173,32;0;173,32;0
12.50 AM;0;182,64;0;182,64;0
12.55 AM;0;196,89;0;196,89;0
01.00 AM;0;174,86;0;174,86;0
01.05 AM;0;200,97;0;200,97;0
01.10 AM;0;182,77;0;182,77;0
01.15 AM;0;195,97;0;195,97;0
01.20 AM;0;176;0;176;0
01.25 AM;0;183,94;0;183,94;0
01.30 AM;0;184,41;0;184,41;0
01.35 AM;0;175,78;0;175,78;0
01.40 AM;0;205,51;0;205,51;0
01.45 AM;0;187,09;0;187,09;0
01.50 AM;0;190;0;190;0
01.55 AM;0;190,37;0;190,37;0
02.00 AM;0;170,24;0;170,24;0
02.05 AM;0;185,93;0;185,93;0
02.10 AM;0;186,67;0;186,67;0
02.15 AM;0;182,66;0;182,66;0
02.20 AM;0;199,46;0;199,46;0
02.25 AM;0;176,38;0;176,38;0
02.30 AM;0;199,4;0;199,4;0
02.35 AM;0;179,66;0;179,66;0
02.40 AM;0;190,98;0;190,98;0
02.45 AM;0;173,05;0;173,05;0
02.50 AM;0;188,7;0;188,7;0
02.55 AM;0;174,41;0;174,41;0
03.00 AM;0;172,1;0;172,1;0
03.05 AM;0;195,74;0;195,74;0
03.10 AM;0;196,31;0;196,31;0
03.15 AM;0;193,47;0;193,47;0
03.20 AM;0;186,17;0;186,17;0
03.25 AM;0;191,17;0;191,17;0
03.30 AM;0;186,79;0;186,79;0
03.35 AM;0;181,59;0;181,59;0
03.40 AM;0;176,78;0;176,78;0
03.45 AM;0;178,13;0;178,13;0
03.50 AM;0;182,87;0;182,87;0
03.55 AM;0;206,33;0;206,33;0
04.00 AM;0;193,82;0;193,82;0
04.05 AM;0;186,8;0;186,8;0
04.10 AM;0;184,01;0;184,01;0
04.15 AM;0;184,59;0;184,59;0
04.20 AM;0;199,66;0;199,66;0
04.25 AM;0;172,96;0;172,96;0
04.30 AM;0;193,87;0;193,87;0
04.35 AM;0;176,38;0;176,38;0
04.40 AM;0;174,11;0;174,11;0
04.45 AM;0;185,31;0;185,31;0
04.50 AM;0;172,3;0;172,3;0
04.55 AM;0;197,44;0;197,44;0
05.00 AM;0;183,06;0;183,06;0
05.05 AM;0;206,89;0;206,89;0
05.10 AM;0;172,89;0;172,89;0
05.15 AM;0;195,69;0;195,69;0
05.20 AM;0;174,09;0;174,09;0
05.25 AM;0;185,93;0;185,93;0
05.30 AM;0;171,93;0;171,93;0
05.35 AM;0;185,9;0;185,9;0
05.40 AM;0;195,87;0;195,87;0
05.45 AM;0;186,03;0;186,03;0
05.50 AM;0;195,64;0;195,64;0
05.55 AM;0;184,25;0;184,25;0
06.00 AM;0;193,51;0;193,51;0
06.05 AM;0;177,24;0;177,24;0
06.10 AM;0;193,01;0;193,01;0
06.15 AM;0;172,82;0;172,82;0
06.20 AM;0;186,78;0;186,78;0
06.25 AM;0;172,11;0;172,11;0
06.30 AM;0;179,83;0;179,83;0
06.35 AM;0;200,26;0;200,26;0
06.40 AM;0;193,44;0;193,44;0
06.45 AM;0;187,62;0;187,62;0
06.50 AM;0;190,9;0;190,9;0
06.55 AM;0;182,27;0;182,27;0
07.00 AM;0,04;173,65;0;173,7;0,04
07.05 AM;0,07;191,76;0;191,83;0,07
07.10 AM;0,16;172,55;0;172,71;0,16
07.15 AM;0,41;191,05;0;191,46;0,41
07.20 AM;0,69;188,36;0;189,05;0,69
07.25 AM;1,03;192,14;0;193,16;1,03
07.30 AM;1,33;188,16;0;189,5;1,33
07.35 AM;1,34;190,6;0;191,93;1,34
07.40 AM;1,19;185,49;0;186,69;1,19
07.45 AM;1,52;172,63;0;174,15;1,52
07.50 AM;1,66;187,3;0;188,96;1,66
07.55 AM;1,78;171,54;0;173,32;1,78
08.00 AM;2,27;180,18;0;182,45;2,27
08.05 AM;3,19;206,66;0;209,85;3,19
08.10 AM;4,05;187,91;0;191,95;4,05
08.15 AM;5,17;187,9;0;193,07;5,17
08.20 AM;4,66;186,44;0;191,1;4,66
08.25 AM;4,7;169,39;0;174,09;4,7
08.30 AM;6,17;180,17;0;186,34;6,17
08.35 AM;6,97;169,17;0;176,14;6,97
08.40 AM;6,71;174,96;0;181,67;6,71
08.45 AM;6,25;194,37;0;200,62;6,25
08.50 AM;6,89;191,52;0;198,41;6,89
08.55 AM;8,3;173,8;0;182,1;8,3
09.00 AM;10,01;186,56;0;196,57;10,01
09.05 AM;10,19;168,26;0;178,45;10,19
09.10 AM;12,15;189,23;0;201,38;12,15
09.15 AM;14,13;171,95;0;186,08;14,13
09.20 AM;14,88;173,2;0;188,08;14,88
09.25 AM;14,61;174,5;0;189,1;14,61
09.30 AM;14,56;160,79;0;175,35;14,56
09.35 AM;14,36;174,74;0;189,1;14,36
09.40 AM;15,14;159,06;0;174,2;15,14
09.45 AM;15,33;175,16;0;190,49;15,33
09.50 AM;15,81;171,83;0;187,65;15,81
09.55 AM;15,97;173,41;0;189,38;15,97
10.00 AM;16,03;184,34;0;200,36;16,03
10.05 AM;16,37;165,82;0;182,19;16,37
10.10 AM;17,21;176,04;0;193,25;17,21
10.15 AM;17,9;166,02;0;183,92;17,9
10.20 AM;18,59;182,43;0;201,01;18,59
10.25 AM;19,25;159,38;0;178,64;19,25
10.30 AM;19,99;179,75;0;199,74;19,99
10.35 AM;20,79;155,67;0;176,46;20,79
10.40 AM;21,39;169,54;0;190,93;21,39
10.45 AM;21,75;154,68;0;176,43;21,75
10.50 AM;22,82;167,2;0;190,03;22,82
10.55 AM;23,59;177,66;0;201,25;23,59
11.00 AM;24,13;162,54;0;186,67;24,13
11.05 AM;24,75;181,49;0;206,24;24,75
11.10 AM;25,21;158,37;0;183,58;25,21
11.15 AM;25,81;177,57;0;203,38;25,81
11.20 AM;26,3;160,09;0;186,39;26,3
11.25 AM;27,1;169,12;0;196,22;27,1
11.30 AM;28,02;147,29;0;175,31;28,02
11.35 AM;29,23;165,3;0;194,53;29,23
11.40 AM;30,66;148,91;0;179,57;30,66
11.45 AM;28,3;155,65;0;183,95;28,3
11.50 AM;31,31;171,97;0;203,28;31,31
11.55 AM;32,62;170;0;202,62;32,62
12.00 PM;28,95;165,33;0;194,27;28,95
12.05 PM;27,5;165,88;0;193,38;27,5
12.10 PM;30,97;168,57;0;199,53;30,97
12.15 PM;31,08;156,53;0;187,61;31,08
12.20 PM;28,23;157,75;0;185,99;28,23
12.25 PM;31,68;161,13;0;192,81;31,68
12.30 PM;33,03;148,59;0;181,62;33,03
12.35 PM;34,26;141,58;0;175,84;34,26
12.40 PM;30,87;168,68;0;199,56;30,87
